id,style
717_450px-30_St_Mary_Axe%2C_%27Gherkin%27.JPG,international
2721_800px-Vitra_fire_station%2C_full_view%2C_Zaha_Hadid.jpg,deconstructivism
717_600px-11-07-31-helsinki-by-RalfR-135.jpg,russian_revival
2882_794px-Pla%C3%A7a_de_l%27Ajuntament_de_Val%C3%A8ncia%2C_Ateneu_Mercantil_i_el_Rialto.jpg,art_deco
6123_800px-Wroc%C5%82aw_-_Rynek_-_Kamienice.JPG,art_nouveau
755_lossy-page1-800px-Nations_Gate_palace_%28kakh-e-darvaz-e-keshvarha%29_in_Persepolis.tif.jpg,achaemenid
1677_800px-Peterson-Burr_House_Salina_Utah.jpg,queen_anne
greek.141.JPG,greek_revival
2660_lossless-page1-566px-Philadelphia_Museum_of_Art._Fachada.TIF.jpg,greek_revival
1982_800px-Parrott_House_-_Roseburg_Oregon.jpg,queen_anne
4837_450px-BOAC_bottom.jpg,postmodern
2508_800px-Seattle_-_6652_Green_Lake_Way_N_02.jpg,queen_anne
02_0121.jpg,gothic
2235_800px-Carey_house_denison_iowa.jpg,queen_anne
08_0058.jpg,georgian
3377_800px-Deutscher_Dom_2006.jpg,baroque
282_800px-BerlinBrandenburgerTor1985.jpg,greek_revival
1046_800px-ViennaKarlsplatzStationWT.jpg,art_nouveau
508_800px-Alice_Graham_House%2C_Montreal_05.jpg,tudor_revival
4658_495px-Cathedral_of_the_Transfiguration_%28Khabarovsk%29.jpg,russian_revival
1503_732px-Gwynne-Love_House.JPG,queen_anne
718_450px-30_St_Mary_Axe_%28The_Gherkin%29_-_geograph.org.uk_-_1083532.jpg,international
381_450px-World%27s_Tallest_Totem_Pole%2C_Victoria%2C_British_Columbia.JPG,novelty
greek.165.jpg,greek_revival
159_800px-Hejmdal_-_Kr%C3%A6ftpatienternes_Hus.jpg,deconstructivism
901_800px-Otto_Wagner%2C_Majolica_House%2C_Vienna%2C_1998.jpg,art_nouveau
2586_800px-ATELIER_CARPEAUX01.JPG,art_nouveau
525_800px-La_Parizer_Platz_et_la_Porte_de_Brandebourg_%28Berlin%29_%282705382633%29.jpg,greek_revival
56_450px-Edificio_Malec%C3%B3n.JPG,postmodern
international.167.jpg,international
5040_800px-Catedral_Habana_01.jpg,colonial
2725_800px-Vitra_Design_Museum_Weil_am_Rhein_4.JPG,deconstructivism
686_Apadana.jpg,achaemenid
3708_800px-Berlin_C_Legien_Trachtenbrodtstr_20.jpg,art_deco
4749_800px-Boudoir_-_Hameau_de_la_Reine.jpg,palladian
4904_800px-Flickr_-_MrSnooks_-_Cairo%2C_Egypt_%289%29.jpg,ancient_egyptian
2446_COLLECTIE_TROPENMUSEUM_Kantoor_van_de_Bank_voor_Indi%C3%AB_Batavia_TMnr_10015467.jpg,colonial
02_0061.jpg,gothic
international.163.jpg,international
5017_800px-Kirche_San_Ignacio.jpg,colonial
4669_450px-%C3%89glise_Val_de_Grace.jpg,baroque
217_800px-Persepolis_24.11.2009_13-05-33.jpg,achaemenid
745_450px-San_rocco_venezia.jpg,baroque
194_800px-Borstel-Hohenraden_Quickborner_Str_99_-2.jpg,bauhaus
Angouleme_cathedral_StPierre_ac.JPG,romanesque
4687_800px-ESA_Karth%C3%A4userhof1.JPG,art_nouveau
179_800px-Woman%27s_National_Democratic_Club.JPG,american_craftsman
50_800px-Margaret_Martin_Residence.JPG,american_foursquare
3224_450px-Cologne_SMariaFrieden_Fassade.JPG,baroque
5971_800px-Krakow_plac_Szczepanski.jpg,art_nouveau
380_800px-Murray_Theater_in_Richmond.jpg,chicago_school
2830_Rgsl_4.jpg,art_nouveau
6066_450px-Cieszyn%2C_teatr_im._Adama_Mickiewicza_3.jpg,art_nouveau
3174_Bellas_artes_Palacion_en_Ciudad_de_Mexico.JPG,art_deco
493_800px-Kheops-Pyramid.jpg,ancient_egyptian
1518_791px-La_Junta%2C_Colorado_509_San_Juan_Avenue_from_W_1.JPG,queen_anne
319_800px-Persepolis_24.11.2009_11-22-11.jpg,achaemenid
16_600px-Flickr_-_fusion-of-horizons_-_Curtea_de_Arge%C8%99_%2815%29.jpg,byzantine
greek.45.jpg,greek_revival
18_337px-Wyandotte_Building_in_Columbus.jpg,chicago_school
1973_800px-Pantocrator1.JPG,byzantine
international.187.JPG,international
2318_728px-Peachcroft_2.jpg,queen_anne
1561_800px-John_Kenneth_Leveson_Ross_House%2C_Montreal.jpg,edwardian
1228_800px-First_Street_East%2C_702%2C_Elm_Heights_HD.jpg,tudor_revival
4642_800px-Phnom_Penh_sta.%2Cphnom_penh_city%2Ccambodia.JPG,art_deco
3110_800px-Mus%C3%A9e_de_l%27%C3%89cole_de_Nancy_fa%C3%A7ade.jpg,art_nouveau
496_800px-Flickr_-_MrSnooks_-_Cairo%2C_Egypt_%281%29.jpg,ancient_egyptian
255_400px-Dresden-UFA-Kristallpalast-sued2.jpg,deconstructivism
37_800px-Wiesbaden_Kurhaus_8.JPG,greek_revival
1524_436px-General_Motors_Building.JPG,postmodern
843_800px-Persepolis_06.jpg,achaemenid
758_800px-Cashmere%2C_WA_-_Cottage_Avenue_Historic_District_11.jpg,american_craftsman
international.41.jpg,international
5331_610px-Finnisches_Nationaltheater.JPG,art_nouveau
150_800px-Maison_Charles_Meredith_2.JPG,georgian
2754_422px-Immeuble_art_nouveau_%28Riga%29_%287567163020%29.jpg,art_nouveau
greek.214.jpg,greek_revival
1366_799px-Camin_Kirche_2008-05-15_029.jpg,tudor_revival
14_800px-Floyd_and_Glenora_Dycus_House.jpg,american_craftsman
08_0046.jpg,georgian
1686_800px-The_Strip_11_%284067398557%29.jpg,deconstructivism
239_800px-Daue_House_-_Salem_Oregon.jpg,american_craftsman
936_756px-Spalding_St_Andrew_from_S_1.JPG,tudor_revival
2805_800px-Toko_merah_Kota_Tua.JPG,colonial
4554_596px-Rudolfplatz_und_Hahnentorburg_-_R%C3%BCckseite-9708.jpg,romanesque
257_800px-BS_Lehndorf_Aufbauhaus_EH.JPG,bauhaus
483_Monastery_of_Hosios_Loukas_exterior.jpg,byzantine
2286_800px-Jockey_Club_Innovation_Tower%2C_Hong_Kong_Polytechnic_University_-_20130808.jpg,deconstructivism
1766_461px-Church_of_Spas_in_Klazma01_by_shakko.jpg,russian_revival
2228_800px-Buenos_Aires_Cabildo_%285462698283%29.jpg,colonial
1259_800px-Edward_P._Werner_House.jpg,tudor_revival
1659_800px-712_25th_St_Ogden_Utah.jpg,queen_anne
greek.110.jpg,greek_revival
800px-beauvais_1.jpg,gothic
1740_399px-Serdobsk_town-cathedral.jpg,russian_revival
3845_800px-Kaufhaus_Joh_Gotha.JPG,art_deco
greek.235.jpg,greek_revival
3865_800px-Berlin-Laubenganghaus-Weisse-Stadt.jpg,art_deco
2721_800px-Maison_Lord-Atholstan_05.jpg,beaux_arts
198_800px-M.J._Lavina_Robidoux_House.JPG,american_craftsman
4836_459px-Three_Eras_-_Houston.jpg,postmodern
1381_800px-Sarah_Benedict_House.jpg,queen_anne
4731_799px-165_Lychakivska_Street%2C_Lviv_%281%29.jpg,art_nouveau
2405_800px-Guangzhou_Opera_House%28Near%29.JPG,deconstructivism
43_600px-Overzicht_glaspaleis%2C_tijdens_restauratie_werkzaamheden_-_Heerlen_-_20378385_-_RCE.jpg,international
248_800px-Hubbard_House_-_Medford_Oregon.jpg,american_craftsman
02_0043.jpg,gothic
1844_01_menkaure_pyramid.jpg,ancient_egyptian
international.77.jpg,international
2020_450px-Rue_du_Renard%2C_12.jpg,art_nouveau
1945_800px-Parliament-Ottawa_edit1.jpg,beaux_arts
3327_800px-El_Palacio_de_Bellas_Artes.JPG,art_deco
6039_598px-Wielka_18_pozna%C5%84.jpg,art_nouveau
4539_450px-Rheingasse_8_-_Overstolzenhaus_-_K%C3%B6ln_-_NRW_P1020064.jpg,romanesque
973_800px-A_gaiola_das_loucas_%283741006156%29.jpg,art_deco
1728_800px-Western_Market_Overview_201008.jpg,edwardian
1279_450px-Milan_Maria_dei_miracoli.JPG,baroque
1351_800px-Khafre%27s_Pyramid343.jpg,ancient_egyptian
3191_COLLECTIE_TROPENMUSEUM_De_soci%C3%ABteit_in_Palembang_TMnr_60023537.jpg,colonial
28_800px-Costanzo_House.jpg,american_foursquare
2313_800px-Giseh_17.jpg,ancient_egyptian
33_450px-First_National_Bank_and_Trust_Building_in_Lima_from_southeast.jpg,chicago_school
295_450px-Templo_de_Santo_Domingo_04.jpg,colonial
759_800px-Cashmere%2C_WA_-_Cottage_Avenue_Historic_District_16.jpg,american_craftsman
2537_800px-TH%26B_Railway_Station_2.JPG,art_deco
3888_800px-Aquarium_%C3%A9cole_Nancy.jpg,art_nouveau
740_800px-Seattle_-_4866_Beach_Dr._SW_02.jpg,american_craftsman
greek.298.jpg,greek_revival
546_800px-Washington_Street_South%2C_1407%2C_Monon_SA.jpg,american_craftsman
2240_800px-Charles_Whitaker_House.JPG,queen_anne
162_800px-Pensacola_AmNatBank01.jpg,chicago_school
952_Macedonian_Museums-80-Arx_Krypth_Ag_Dhmhtriou-351.jpg,byzantine
2800_450px-Alberta_iela_4_02.JPG,art_nouveau
89_450px-7570%2C_1re_avenue_Charlesbourg-2.JPG,american_foursquare
3156_800px-Palacio_de_las_Bellas_Artes_Noche.JPG,art_deco
4509_450px-K%C3%B6ln_Pantaleon_von_W3.jpg,romanesque
1871_800px-Kirchman_House_%28Wahoo%2C_Nebraska%29_from_N_1.JPG,queen_anne
5871_509px-Rzesz%C3%B3w_kamienica_p1.jpg,art_nouveau
greek.303.jpg,greek_revival
6350_800px-Muzeum_Morskie_w_Szczecinie.jpg,art_nouveau
3730_DahshurRedPyr.jpg,ancient_egyptian
729_800px-Ogilvy_Building.JPG,chicago_school
900_800px-St_Agatha%27s_Conservatory_2.jpg,beaux_arts
1786_800px-Edgar_Zabriskie_House_from_W.jpg,queen_anne
13_800px-Ginter_Park_Terrace_Foursquares.JPG,american_foursquare
1658_800px-2380_Madison_Ave_Ogden_Utah.jpg,queen_anne
08_0060.jpg,georgian
2539_742px-2012_ravenna_133.jpg,byzantine
2821_800px-Veneza47.jpg,byzantine
4_800px-831Richland.jpg,american_foursquare
1063_800px-ML_Milton_Carson_Home.JPG,queen_anne
international.114.jpg,international
2284_800px-Maison_Joseph-Ald%C3%A9ric_Raymond_05.jpg,beaux_arts
1749_800px-Church_of_the_Ascension_%28Yelets%29.JPG,russian_revival
2463_466px-Sackville_House_NRHP.jpg,queen_anne
6088_400px-Wroc%C5%82aw%2C_Rynek_13_-_fotopolska.eu_%28344554%29.jpg,art_nouveau
1643_800px-Alexander_Thoirs_House.jpg,greek_revival
4924_450px-Puerta_de_Europa_%28Caja_Madrid%29.006_-_Madrid.JPG,postmodern
3970_431px-St_Martin_01_Koblenz_2012-2.jpg,art_deco
76_Istana_Kampong_Glam.jpg,palladian
1924_Canada_Parliament2.jpg,beaux_arts
4843_561px-Christ_the_Savior_Cathedral_Moscow.jpg,russian_revival
903_800px-House_on_Highland_Ave_South_Birmingham_Dec_2012.jpg,queen_anne
1159_800px-Ballantine_Road_South%2C_411%2C_Elm_Heights_HD.jpg,tudor_revival
1931_737px-Ek_House_-_Silverton_Oregon.jpg,queen_anne
198_458px-Gage_Buildings_-_Chicago%2C_Illinois.jpg,chicago_school
5380_Ascot_Cinema%2C_Anniesland_in_2008.jpg,art_deco
507_379px-500_Place_d_Armes_Montreal.JPG,international
3126_800px-Villa_Bergeret_3.jpg,art_nouveau
2744_800px-Vitra_Design_Museum.JPG,deconstructivism
421_800px-Fess_Avenue%2C_406%2C_University_Courts.jpg,american_craftsman
206_800px-P.S.K._Vienna_August_2006_031.jpg,art_nouveau
661_450px-Royal_Bank_Building_Toronto_1.jpg,chicago_school
14_800px-WAK_Kaltennordheim_036.jpg,art_nouveau
918_800px-Bridgeport12.jpg,queen_anne
355_625px-Marquette_Building_Detroit_MI.jpg,chicago_school
5919_800px-Piramowicza_15_st.%2C_tenement_house%2C_%C5%81%C3%B3d%C5%BA.jpg,art_nouveau
1101_800px-Polk_County_Courthouse_%28Nebraska%29_1.jpg,beaux_arts
243_301px-PBC_Frankfurt.jpg,international
504_800px-Washington_Street_South%2C_1303%2C_Monon_SA.jpg,american_craftsman
2713_613px-Cinemadresden.jpg,deconstructivism
3486_799px-St.Francis_Church%2C_first_colonial_European_structure_in_India.JPG,colonial
2804_800px-WTMTL_T42_MG_0007.jpg,beaux_arts
90_800px-7570%2C_1re_avenue_Charlesbourg-1.JPG,american_foursquare
2344_800px-Khephren_011.jpg,ancient_egyptian
4507_450px-ESA_Hotel_Kaiserhof3.jpg,art_nouveau
294_800px-Saqqara_-_Pyramid_of_Djoser_-_Pyramid_from_the_Great_Court.JPG,ancient_egyptian
176_800px-George_D._Dayton_House.jpg,georgian
17_450px-Park_Tower_June_8_08_detail.jpg,postmodern
greek.314.jpg,greek_revival
242_800px-Persepolis_king_P100C.jpg,achaemenid
international.111.jpg,international
2527_800px-Clova-front2.jpg,art_deco
487_800px-Giseh_14.jpg,ancient_egyptian
200_800px-Braunschweig_Siemens_Mobility.jpg,bauhaus
4853_471px-Moscow_-_Cathedral_of_Christ_the_Saviour.jpg,russian_revival
2888_790px-Saskatchewan_Legislature.jpg,beaux_arts
Parma_Dom_Fassade4_adjusted.JPG,romanesque
2201_450px-Basilica_de_Santo_Domingo.jpg,colonial
253_799px-Van_Hoevenberg_House_-_Gold_Hill_Oregon.jpg,american_craftsman
481_800px-Neely-Sieber_House%2C_front.jpg,georgian
2459_450px-House_at_200_West_North_Avenue_comprehensive.jpg,queen_anne
1835_800px-Casa_Gallardo_%28Madrid%29_04.jpg,art_nouveau
3173_800px-BellasArtesDesdeArriba.jpg,art_deco
448_800px-Clay_Hill_near_Campbellsville%2C_entrance_closeup.jpg,georgian
4636_800px-Ferme_du_hameau_de_la_Reine_%282%29.jpg,palladian
496_800px-Lincoln_Street_South%2C_416%2C_East_Second_Street_HD.jpg,american_craftsman
international.64.jpg,international
02_0122.jpg,gothic
08_0048.jpg,georgian
1827_Bogoyavlenskiy_Cathedral_of_the_Tula_Kremlin_8.JPG,russian_revival
33_467px-Knockbreda_Parish_Church%2C_Belfast_-_geograph.org.uk_-_799728.jpg,palladian
580_450px-Santa_Maria_della_Salute.JPG,baroque
165_450px-Fishdance.jpg,deconstructivism
452_800px-Grant_Street_South%2C_400%2C_South_Dunn_Street_HD.jpg,american_craftsman
2747_800px-Bethel_AME_Church_of_Crawfordsville%2C_front.jpg,queen_anne
202_800px-Delfzijl_CoopH_02.JPG,deconstructivism
4508_799px-Kaiserhof_Eisenach.JPG,art_nouveau
5767_Molchadskaya-6.jpg,art_nouveau
1647_800px-Poitiers_-_Hotel_de_ville.JPG,beaux_arts
4476_800px-Palacio_Legislativo_11..JPG,beaux_arts
08_0051.jpg,georgian
24_800px-Hastings%2C_Nebraska_907_N_Burlington_Ave.JPG,american_craftsman
2304_780px-George_J_Smith_House%2C_Kingston%2C_NY.jpg,queen_anne
3848_800px-Disch-Haus_K%C3%B6ln_%288650-52%29.jpg,art_deco
2116_Nesebar_-_Church_of_St_John_Aliturgetos.jpg,byzantine
3670_800px-San_Marco_IMG_3874.JPG,byzantine
4250_800px-Cate_II.JPG,colonial
